Artista,Biografia,Listeners,Playcount,Artistas Similares
Fitz and the Tantrums,"Fitz and the Tantrums are an American soul group from Los Angeles, California. The group was founded in 2008 by Michael Fitzpatrick, who had begun writing soul music for a solo project on an old church organ he had purchased. He added friend James King to the group as an arranger and soon after expanded the band to a seven-piece, including several horns. Fitzpatrick shares the vocal duties with Noelle Scaggs. Other members include Joseph Karnes, Jeremy Ruzumna, and John Wicks. <a href=""https://www.last.fm/music/Fitz+and+the+Tantrums"">Read more on Last.fm</a>",1487986,21271491,Saint Motel
Willie Nelson,"Willie Hugh Nelson (born April 29, 1933) is an American musician, actor, and activist. The critical success of the album Shotgun Willie (1973), combined with the critical and commercial success of Red Headed Stranger (1975) and Stardust (1978), made Nelson one of the most recognized artists in country music. He was one of the main figures of outlaw country, a subgenre of country music that developed in the late 1960s as a reaction to the conservative restrictions of the Nashville sound. <a href=""https://www.last.fm/music/Willie+Nelson"">Read more on Last.fm</a>",1382273,20321237,Merle Haggard
The Neighbourhood,"The Neighbourhood is an American alternative rock/dark pop band that formed in Newbury Park, California, USA in August 2011. The band consists of Jesse Rutherford, Jeremy Freedman, Zach Abels, and Mikey Margott. Brandon Fried (drums) was kicked out of the band on November 15 2022 after groping allegations. Bryan Sammis (drums) left the group in January 2014.

The band released their first EP, I'm Sorry... in January 2013, where their single Sweater Weather reached #1 in the U. <a href=""https://www.last.fm/music/The+Neighbourhood"">Read more on Last.fm</a>",3022860,256282427,Jesse®
Bring Me the Horizon,"Bring Me the Horizon, often known by the acronym BMTH, is a British deathcore/metalcore/alternative metal band formed in 2004 in Sheffield, South Yorkshire, by vocalist Oliver Sykes, drummer Matt Nicholls, bassist Matt Kean and guitarists Lee Malia and Curtis Ward.

The current lineup of the band consists of: Oliver ""Oli"" Sykes (lead vocals, keyboards and programming), Matt Nicholls (drums), Lee Malia (lead and rythm guitar), Matt Kean (bass) and touring member John Jones (rythm guitar and backing vocals). <a href=""https://www.last.fm/music/Bring+Me+the+Horizon"">Read more on Last.fm</a>",2256894,228406587,Bad Omens
Citizen Way,"Citizen Way, formerly known as The Least of These, is a contemporary Christian music and Christian rock band from Elgin, Illinois. The band is composed of David Blascoe, Ben Calhoun and Josh Calhoun. Ben Blascoe recently retired from the band in 2015. <a href=""https://www.last.fm/music/Citizen+Way"">Read more on Last.fm</a>",23906,293730,Sidewalk Prophets
Starset,"Starset is an American alternative rock band formed in 2013 in Columbus, Ohio, by lead vocalist Dustin Bates, former member of Downplay.

The current lineup consistst of: Dustin Bates (lead vocals, keyboards, piano, synths and guitars), Ron DeChant (bass, keyboards and backing vocals), Brock Richards (guitars and backing vocals) and Adam Gilbert (drums and percussion).

They released their debut studio album, Transmissions, in 2014 with the label Razor & Tie, followed by a second studio album, Vessels, in 2017. <a href=""https://www.last.fm/music/Starset"">Read more on Last.fm</a>",393065,17990538,Downplay
Matthew Mole,"Matthew Mole is a singer/songwriter from Cape Town, South Africa. He has been described as ""a multi-instrumentalist blending Mumford-honouring nu-folk and layered production"".  Matthew's first release was an independent EP entitled 'You Did Well, Kid' in 2011. In 2012, he won the 'Converse Get Out Of The Garage' contest and subsequently signed to Just Music, releasing an EP called 'Same Parts, Same Heart' shortly afterwards. In 2013 Matthew released 'The House We Built' on Just Music, which became an iTunes No. <a href=""https://www.last.fm/music/Matthew+Mole"">Read more on Last.fm</a>",87897,872158,Jeremy Loops
LoCash,"Named “country music's iconic feel-good duo” by PEOPLE, Wheelhouse Records/BMG’s LOCASH – Preston Brust and Chris Lucas – is “hitting homers and serving up first-class songs,” as hailed by American Songwriter. With their loud-and-proud anthem “Three Favorite Colors” as their current release, they delivered back-to-back high-profile collaborations with “Let It Slide” (Leslie Jordan, Blanco Brown, LOCASH) and “Beach Boys” (feat. <a href=""https://www.last.fm/music/LoCash"">Read more on Last.fm</a>",52201,545218,
Ozzy Osbourne,"John Michael ""Ozzy"" Osbourne (born 3 December 1948) is an English singer, songwriter, and television personality. He rose to prominence during the 1970s as the lead vocalist of the heavy metal band Black Sabbath, during which period he adopted the nickname ""Prince of Darkness"". Born and raised in Birmingham, Osbourne became a founding member of Black Sabbath in 1967, and sang on every album from their debut in 1970 to Never Say Die! in 1978. The band was highly influential on the development of heavy metal music <a href=""https://www.last.fm/music/Ozzy+Osbourne"">Read more on Last.fm</a>",2511144,69631352,Black Sabbath
Arlo Mac," <a href=""https://www.last.fm/music/Arlo+Mac"">Read more on Last.fm</a>",30364,189826,Daily J
blink-182,"Blink-182 is an American punk rock band formed in Poway, California, in 1992. Their current and best-known lineup consists of bassist/vocalist Mark Hoppus, guitarist/vocalist Tom DeLonge, and drummer Travis Barker.

After years of independent recording and touring, including stints on the Warped Tour, the group signed to MCA Records. Their biggest albums, Enema of the State (1999) and Take Off Your Pants and Jacket (2001), saw international success. <a href=""https://www.last.fm/music/blink-182"">Read more on Last.fm</a>",4196367,268657068,Box Car Racer
Sumika,"sumika (meaning house) is a Japanese rock band under the indies label [NOiD]. 

sumika and sumika [camp session] were formed in Kawasaki, Kanagawa in May 2013. ""sumika"" is the normal band form while ""sumika [camp session]"" is the acoustic band form that performs live. Each live performance is done with guests (filmmaker, photographer, musicians, painter, architect, potter, sculptor, poet, etc).

The band released their debut mini-album Shinsekai Orichalcum in October of 2013. <a href=""https://www.last.fm/music/Sumika"">Read more on Last.fm</a>",138238,2528201,Mrs. GREEN APPLE
Daughtry,"Daughtry is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of American Idol. Their self-titled debut album was released in November 2006 and reached number one on the Billboard 200. The album went on to sell more than four million copies in the United States, and has been certified quadruple platinum by the RIAA. Daughtry was also named the best selling album of 2007 by Billboard, becoming the fastest-selling debut rock album in Soundscan history. <a href=""https://www.last.fm/music/Daughtry"">Read more on Last.fm</a>",1411671,31812052,David Cook
MISSIO,"Matthew Brue. 

Missio: (miss-ee-o) - Latin for ""mission."" Inspired by the words ""All are from the dust, and to the dust all return,"" Missio seeks purity in broken things through minimalistic songwriting. 

The art of creating has become something that continues to show him that beauty and purity are found in all aspects of life. In times of emotional distress, he write songs. In times of invigorating happiness, he write songs. There has become an <a href=""https://www.last.fm/music/MISSIO"">Read more on Last.fm</a>",393811,8109874,8 Graves
Russell Dickerson,"Russell Dickerson was born May 7, 1987. Union City, Tennessee is an American pop music singer and songwriter from Nashville, Tennessee. He earned a music degree from Belmont University and signed with Creative Artists Agency in 2010. In 2011, he released an extended play, Die to Live Again, and opened for David Nail. He toured with Canaan Smith in 2015.
In 2015, he released the single ""Yours"". The song has sold 105,000 copies since August 15, 2016. <a href=""https://www.last.fm/music/Russell+Dickerson"">Read more on Last.fm</a>",131851,1919429,Jordan Davis
The Grogans,"From triple j unearthed: 

We are The Grogans. Our grandparents say our songs ""have a good beat"" and when your grandparents say that, you know it must be average.

We're three best mates from Melbourne, and formed The Grogans while jamming through high-school. We began playing friends and families parties, then moved onto our first few shows at Ding Dong lounge, then released our debut EP ‘Cacteyed’ towards the end of the year, featuring ‘Pot Head Artist’. <a href=""https://www.last.fm/music/The+Grogans"">Read more on Last.fm</a>",81968,1086542,Vanilla Gorilla
